N,P,K,temperature,humidity,ph,rainfall,label,Price_kg,kg_per_acre
29.00,64.00,28.00,28.04,65.07,6.05,74.00,blackgram,0.59,800
34.00,70.00,28.00,30.03,64.15,6.99,74.00,blackgram,0.59,800
33.00,74.00,19.00,29.11,67.91,7.62,74.00,blackgram,0.59,800
36.00,82.00,74.00,20.28,16.40,8.66,74.00,chickpea,0.78,1000
56.00,59.00,24.00,24.29,84.62,5.97,74.00,cotton,0.55,365
121.00,50.00,11.00,22.60,80.35,6.64,74.00,cotton,0.55,365
95.00,59.00,18.00,22.43,81.53,7.46,74.00,cotton,0.55,365
31.00,108.00,221.00,19.89,82.73,3.38,74.00,grapes,1.2,5000
31.00,116.00,217.00,10.90,80.02,6.94,74.00,grapes,1.2,5000
13.00,147.00,207.00,19.65,80.15,7.98,74.00,grapes,1.2,5000
81.00,54.00,19.00,19.29,65.47,6.38,74.00,maize,0.32,2600
20.00,30.00,22.00,32.27,53.56,3.77,74.00,mango,0.76,3000
14.00,19.00,58.00,18.20,91.12,4.87,74.00,pomegranate,0.74,1700
112.00,19.00,64.00,26.44,80.92,7.81,74.00,watermelon,0.4,17700
27.00,70.00,13.00,29.48,63.20,5.00,75.00,blackgram,0.59,800
54.00,74.00,26.00,30.64,61.15,5.90,75.00,blackgram,0.59,800
37.00,41.00,11.00,34.37,69.69,7.20,75.00,blackgram,0.59,800
26.00,152.00,181.00,22.03,83.74,7.34,75.00,grapes,1.2,5000
108.00,69.00,18.00,18.04,60.61,2.21,75.00,maize,0.32,2600
75.00,56.00,23.00,19.97,57.68,2.86,75.00,maize,0.32,2600
45.00,44.00,22.00,19.30,69.63,7.07,75.00,maize,0.32,2600
19.00,18.00,26.00,33.45,53.06,6.22,75.00,mango,0.76,3000
23.00,17.00,14.00,34.51,93.64,6.74,75.00,orange,0.46,4800
20.00,9.00,7.00,11.50,94.89,7.03,75.00,orange,0.46,4800
18.00,16.00,7.00,26.03,91.51,7.46,75.00,orange,0.46,4800
130.00,45.00,234.00,25.99,91.00,5.20,75.00,pineapple,1.1,10000
95.00,7.00,64.00,24.86,85.05,5.59,75.00,watermelon,0.4,17700
120.00,16.00,56.00,25.92,83.47,6.34,75.00,watermelon,0.4,17700
36.00,72.00,18.00,26.27,62.29,7.41,76.00,blackgram,0.59,800
29.00,67.00,22.00,32.64,61.30,9.31,76.00,blackgram,0.59,800
34.00,56.00,5.00,28.47,63.54,9.51,76.00,blackgram,0.59,800
41.00,58.00,34.00,19.46,15.23,10.81,76.00,chickpea,0.78,1000
101.00,41.00,14.00,25.69,77.91,7.29,76.00,cotton,0.55,365
22.00,107.00,161.00,16.36,83.00,3.84,76.00,grapes,1.2,5000
25.00,101.00,214.00,38.06,82.25,4.82,76.00,grapes,1.2,5000
20.00,146.00,193.00,9.47,82.29,5.84,76.00,grapes,1.2,5000
22.00,75.00,12.00,23.91,20.75,3.68,76.00,kidneybeans,1.21,2000
25.00,56.00,19.00,28.67,63.19,6.24,76.00,lentil,1.12,800
59.00,56.00,14.00,25.97,69.36,6.25,76.00,maize,0.32,2600
81.00,55.00,17.00,25.34,68.50,7.21,76.00,maize,0.32,2600
22.00,31.00,34.00,32.82,47.46,6.79,76.00,mango,0.76,3000
15.00,77.00,18.00,31.80,45.03,5.55,76.00,pigeonpeas,0.76,800
19.00,24.00,25.00,18.10,90.42,6.14,76.00,pomegranate,0.74,1700
79.00,15.00,56.00,25.36,80.46,3.51,76.00,watermelon,0.4,17700
17.00,65.00,22.00,31.87,66.74,7.18,77.00,blackgram,0.59,800
43.00,58.00,80.00,20.37,16.90,6.92,77.00,chickpea,0.78,1000
37.00,108.00,94.00,19.37,15.77,7.36,77.00,chickpea,0.78,1000
42.00,65.00,35.00,18.87,15.66,8.06,77.00,chickpea,0.78,1000
38.00,98.00,55.00,18.59,14.78,10.26,77.00,chickpea,0.78,1000
22.00,25.00,24.00,28.30,95.41,7.25,77.00,coconut,0.32,5000
102.00,24.00,29.00,23.32,53.00,4.80,77.00,coffee,4.55,500
107.00,22.00,31.00,23.59,55.28,7.79,77.00,coffee,4.55,500
21.00,104.00,264.00,12.14,83.57,4.98,77.00,grapes,1.2,5000
20.00,55.00,24.00,17.85,18.78,5.52,77.00,kidneybeans,1.21,2000
97.00,59.00,13.00,18.67,71.52,6.60,77.00,maize,0.32,2600
18.00,26.00,25.00,30.34,48.89,6.96,77.00,mango,0.76,3000
21.00,25.00,31.00,27.92,51.78,7.68,77.00,mango,0.76,3000
12.00,49.00,14.00,27.93,66.45,4.37,77.00,mothbeans,0.84,4000
128.00,31.00,113.00,26.19,83.00,5.56,77.00,pineapple,1.1,10000
16.00,130.00,206,22.36,94.48,6.54,78.00,apple,0.68,7300
85.00,88.00,65.00,25.34,84.47,7.18,78.00,banana,1.25,14000
46.00,79.00,19.00,26.42,64.51,4.05,78.00,blackgram,0.59,800
43.00,63.00,15.00,32.97,60.18,5.47,78.00,blackgram,0.59,800
36.00,66.00,26.00,32.84,68.68,6.88,78.00,blackgram,0.59,800
43.00,74.00,19.00,33.95,69.96,7.49,78.00,blackgram,0.59,800
52.00,56.00,25.00,34.04,64.29,8.10,78.00,blackgram,0.59,800
56.00,72.00,19.00,27.72,63.29,8.36,78.00,blackgram,0.59,800
46.00,85.00,24.00,30.12,60.12,8.59,78.00,blackgram,0.59,800
41.00,56.00,50.00,19.10,17.26,5.96,78.00,chickpea,0.78,1000
24.00,17.00,29.00,29.52,92.56,6.44,78.00,coconut,0.32,5000
181.00,45.00,23.00,22.42,84.56,6.91,78.00,cotton,0.55,365
117.00,50.00,13.00,23.53,77.22,7.01,78.00,cotton,0.55,365
19.00,151.00,238.00,22.44,80.19,5.09,78.00,grapes,1.2,5000
17.00,66.00,26.00,20.61,24.36,7.12,78.00,kidneybeans,1.21,2000
13.00,72.00,19.00,25.88,67.55,8.16,78.00,lentil,1.12,800
122.00,46.00,19.00,18.42,64.24,5.43,78.00,maize,0.32,2600
18.00,25.00,35.00,35.47,47.97,7.10,78.00,mango,0.76,3000
25.00,24.00,27.00,35.38,45.58,7.72,78.00,mango,0.76,3000
39.00,96.00,22.00,31.56,67.84,5.20,79.00,blackgram,0.59,800
39.00,39.00,15.00,28.39,61.89,7.59,79.00,blackgram,0.59,800
39.00,79.00,65.00,20.93,18.91,6.62,79.00,chickpea,0.78,1000
35.00,67.00,69.00,20.27,19.97,6.84,79.00,chickpea,0.78,1000
32.00,82.00,97.00,18.18,18.90,6.94,79.00,chickpea,0.78,1000
61.00,74.00,75.00,17.14,17.07,8.20,79.00,chickpea,0.78,1000
36.00,72.00,131.00,17.30,15.15,8.30,79.00,chickpea,0.78,1000
170.00,50.00,16.00,24.69,78.51,6.34,79.00,cotton,0.55,365
148.00,44.00,19.00,23.48,81.73,7.97,79.00,cotton,0.55,365
13.00,186.00,182.00,39.65,82.21,3.60,79.00,grapes,1.2,5000
105.00,30.00,14.00,21.87,61.91,5.94,79.00,maize,0.32,2600
6.00,16.00,11.00,15.78,92.51,7.91,79.00,orange,0.46,4800
24.00,133.00,197,21.04,94.34,5.09,80.00,apple,0.68,7300
136.00,95.00,72.00,27.33,83.68,5.32,80.00,banana,1.25,14000
80.00,92.00,45.00,27.67,79.69,6.07,80.00,banana,1.25,14000
54.00,53.00,23.00,28.57,65.72,7.64,80.00,blackgram,0.59,800
42.00,80.00,90.00,20.89,14.32,6.40,80.00,chickpea,0.78,1000
45.00,29.00,17.00,24.33,80.13,5.22,80.00,cotton,0.55,365
120.00,34.00,23.00,23.50,83.63,7.35,80.00,cotton,0.55,365
167.00,38.00,16.00,23.66,81.69,7.72,80.00,cotton,0.55,365
147.00,41.00,21.00,22.78,77.51,8.51,80.00,cotton,0.55,365
25.00,68.00,200.00,24.07,82.66,2.85,80.00,grapes,1.2,5000
21.00,75.00,259.00,31.11,83.34,7.69,80.00,grapes,1.2,5000
8.00,66.00,17.00,15.33,24.92,3.64,80.00,kidneybeans,1.21,2000
70.00,53.00,20.00,21.78,57.81,4.62,80.00,maize,0.32,2600
73.00,41.00,20.00,22.54,67.99,7.91,80.00,maize,0.32,2600
19.00,29.00,34.00,31.89,49.02,4.53,80.00,mango,0.76,3000
19.00,20.00,38.00,29.98,49.49,7.33,80.00,mango,0.76,3000
25.00,30.00,32.00,27.81,51.59,7.36,80.00,mango,0.76,3000
31.00,55.00,15.00,23.45,46.49,7.16,80.00,mothbeans,0.84,4000
21.00,20.00,8.00,32.24,90.15,7.23,80.00,orange,0.46,4800
33.00,65.00,71.00,40.77,92.09,6.38,80.00,papaya,1.45,3000
15.00,18.00,30.00,24.35,90.89,9.13,80.00,pomegranate,0.74,1700
44.00,44.00,23.00,25.55,63.95,4.87,81.00,blackgram,0.59,800
51.00,64.00,19.00,29.63,65.91,6.41,81.00,blackgram,0.59,800
52.00,52.00,61.00,17.34,18.76,7.99,81.00,chickpea,0.78,1000
127.00,45.00,19.00,23.05,75.54,6.13,81.00,cotton,0.55,365
81.00,44.00,18.00,23.96,76.59,7.51,81.00,cotton,0.55,365
70.00,33.00,15.00,22.74,80.41,7.64,81.00,cotton,0.55,365
25.00,128.00,173.00,17.83,80.96,6.43,81.00,grapes,1.2,5000
25.00,136.00,248.00,27.92,82.93,6.69,81.00,grapes,1.2,5000
27.00,152.00,200.00,17.59,80.85,7.17,81.00,grapes,1.2,5000
21.00,87.00,15.00,19.19,20.83,5.89,81.00,kidneybeans,1.21,2000
42.00,46.00,27.00,23.09,63.10,3.65,81.00,maize,0.32,2600
63.00,41.00,18.00,25.19,60.20,6.06,81.00,maize,0.32,2600
83.00,76.00,17.00,25.77,74.09,8.32,81.00,maize,0.32,2600
78.00,39.00,22.00,26.55,72.89,8.78,81.00,maize,0.32,2600
18.00,23.00,14.00,18.88,92.04,6.83,81.00,orange,0.46,4800
24.00,16.00,12.00,29.98,94.55,7.75,81.00,orange,0.46,4800
20.00,16.00,31.00,21.93,94.46,6.36,81.00,pomegranate,0.74,1700
27.00,116.00,231,22.47,91.23,8.28,82.00,apple,0.68,7300
109.00,101.00,43.00,29.12,80.18,4.73,82.00,banana,1.25,14000
92.00,85.00,44.00,28.10,77.80,6.63,82.00,banana,1.25,14000
106.00,75.00,24.00,29.91,76.99,7.03,82.00,banana,1.25,14000
30.00,81.00,17.00,34.90,63.60,7.34,82.00,blackgram,0.59,800
139.00,42.00,18.00,24.49,82.24,7.62,82.00,cotton,0.55,365
174.00,25.00,25.00,23.66,77.52,7.65,82.00,cotton,0.55,365
15.00,191.00,186.00,35.83,83.33,3.98,82.00,grapes,1.2,5000
67.00,25.00,24.00,23.39,61.74,3.69,82.00,maize,0.32,2600
111.00,45.00,26.00,25.19,66.69,7.48,82.00,maize,0.32,2600
25.00,33.00,48.00,27.70,51.42,6.45,82.00,mango,0.76,3000
15.00,21.00,36.00,28.89,54.81,6.71,82.00,mango,0.76,3000
20.00,138.00,226,22.43,92.49,5.72,83.00,apple,0.68,7300
16.00,114.00,178,22.54,91.48,6.12,83.00,apple,0.68,7300
28.00,222.00,202,22.72,92.25,6.37,83.00,apple,0.68,7300
50.00,41.00,26.00,28.55,66.31,5.11,83.00,blackgram,0.59,800
64.00,72.00,20.00,27.54,69.35,6.40,83.00,blackgram,0.59,800
36.00,55.00,107.00,17.17,14.42,6.39,83.00,chickpea,0.78,1000
40.00,68.00,35.00,17.48,16.54,8.99,83.00,chickpea,0.78,1000
119.00,48.00,20.00,25.67,81.38,5.15,83.00,cotton,0.55,365
119.00,33.00,17.00,24.71,77.73,6.25,83.00,cotton,0.55,365
64.00,40.00,19.00,22.32,83.86,7.15,83.00,cotton,0.55,365
167.00,49.00,29.00,22.22,76.18,7.27,83.00,cotton,0.55,365
89.00,48.00,14.00,24.40,79.20,7.33,83.00,cotton,0.55,365
24.00,184.00,222.00,39.71,82.69,4.62,83.00,grapes,1.2,5000
26.00,104.00,234.00,16.76,82.00,7.51,83.00,grapes,1.2,5000
20.00,27.00,30.00,34.16,54.16,4.43,83.00,mango,0.76,3000
23.00,27.00,31.00,34.18,50.62,4.73,83.00,mango,0.76,3000
19.00,32.00,17.00,27.54,53.64,6.35,83.00,mango,0.76,3000
19.00,30.00,24.00,30.02,53.19,7.83,83.00,mango,0.76,3000
12.00,20.00,11.00,23.01,91.12,6.25,83.00,orange,0.46,4800
151.00,44.00,205.00,30.42,86.00,4.64,83.00,pineapple,1.1,10000
198.00,48.00,205.00,22.00,95.00,4.75,83.00,pineapple,1.1,10000
134.00,40.00,186.00,29.46,92.00,5.49,83.00,pineapple,1.1,10000
77.00,63.00,189.00,23.60,85.00,5.80,83.00,pineapple,1.1,10000
106.00,30.00,165.00,19.98,86.00,6.22,83.00,pineapple,1.1,10000
15.00,16.00,31.00,18.78,87.40,5.94,83.00,pomegranate,0.74,1700
24.00,16.00,33.00,22.43,90.34,6.47,83.00,pomegranate,0.74,1700
99.00,20.00,64.00,24.31,87.47,9.23,83.00,watermelon,0.4,17700
51.00,47.00,65.00,26.40,81.36,3.99,84.00,banana,1.25,14000
134.00,60.00,32.00,28.65,82.69,6.41,84.00,banana,1.25,14000
39.00,77.00,13.00,34.95,65.27,8.52,84.00,blackgram,0.59,800
45.00,57.00,93.00,19.49,17.17,5.79,84.00,chickpea,0.78,1000
44.00,56.00,64.00,19.45,18.23,6.28,84.00,chickpea,0.78,1000
43.00,61.00,69.00,19.48,17.45,7.75,84.00,chickpea,0.78,1000
43.00,99.00,89.00,18.66,16.18,7.78,84.00,chickpea,0.78,1000
24.00,87.00,130.00,29.94,81.78,4.68,84.00,grapes,1.2,5000
20.00,59.00,14.00,18.42,23.43,4.69,84.00,kidneybeans,1.21,2000
25.00,60.00,18.00,22.99,20.58,5.45,84.00,kidneybeans,1.21,2000
26.00,67.00,26.00,25.09,68.18,6.79,84.00,lentil,1.12,800
76.00,57.00,19.00,21.54,71.51,5.82,84.00,maize,0.32,2600
78.00,36.00,26.00,25.70,61.33,7.00,84.00,maize,0.32,2600
14.00,30.00,28.00,29.38,45.89,3.29,84.00,mango,0.76,3000
11.00,26.00,22.00,35.39,52.49,7.93,84.00,mango,0.76,3000
20.00,20.00,13.00,31.08,90.14,6.52,84.00,orange,0.46,4800
24.00,88.00,21.00,36.98,37.74,6.45,84.00,pigeonpeas,0.76,800
137.00,40.00,175.00,25.39,86.00,5.05,84.00,pineapple,1.1,10000
162.00,34.00,196.00,22.21,84.00,5.97,84.00,pineapple,1.1,10000
15.00,24.00,41.00,19.73,89.65,6.00,84.00,pomegranate,0.74,1700
50.00,85.00,82.00,17.48,14.76,4.74,85.00,chickpea,0.78,1000
44.00,83.00,110.00,18.29,16.68,7.32,85.00,chickpea,0.78,1000
18.00,21.00,31.00,25.07,93.31,5.01,85.00,coconut,0.32,5000
78.00,25.00,20.00,25.53,80.05,5.77,85.00,cotton,0.55,365
90.00,30.00,25.00,24.58,79.12,6.44,85.00,cotton,0.55,365
29.00,123.00,192.00,21.12,80.63,4.95,85.00,grapes,1.2,5000
22.00,95.00,121.00,9.85,80.23,5.37,85.00,grapes,1.2,5000
29.00,79.00,19.00,19.64,19.69,2.31,85.00,kidneybeans,1.21,2000
21.00,64.00,21.00,19.88,20.32,5.53,85.00,kidneybeans,1.21,2000
24.00,72.00,14.00,18.51,23.62,5.72,85.00,kidneybeans,1.21,2000
57.00,42.00,21.00,21.63,60.28,9.19,85.00,maize,0.32,2600
16.00,25.00,34.00,31.33,50.22,4.53,85.00,mango,0.76,3000
19.00,20.00,13.00,24.60,91.28,4.28,85.00,orange,0.46,4800
19.00,19.00,11.00,21.03,92.96,7.62,85.00,orange,0.46,4800
20.00,9.00,6.00,25.67,92.05,8.19,85.00,orange,0.46,4800
51.00,46.00,133.00,21.94,83.00,3.20,85.00,pineapple,1.1,10000
112.00,58.00,204.00,24.24,86.00,6.97,85.00,pineapple,1.1,10000
14.00,21.00,55.00,19.30,87.18,5.49,85.00,pomegranate,0.74,1700
4.00,19.00,41.00,20.82,87.23,5.68,85.00,pomegranate,0.74,1700
17.00,21.00,44.00,24.88,89.40,6.14,85.00,pomegranate,0.74,1700
115.00,64.00,68.00,26.60,83.00,5.46,86.00,banana,1.25,14000
43.00,51.00,22.00,34.64,61.39,5.16,86.00,blackgram,0.59,800
16.00,67.00,22.00,25.69,69.84,10.25,86.00,blackgram,0.59,800
53.00,70.00,43.00,20.19,19.64,5.76,86.00,chickpea,0.78,1000
44.00,76.00,107.00,18.65,17.81,6.93,86.00,chickpea,0.78,1000
140.00,46.00,20.00,22.46,81.31,7.07,86.00,cotton,0.55,365
27.00,69.00,12.00,20.65,23.11,3.93,86.00,kidneybeans,1.21,2000
28.00,29.00,19.00,35.96,48.70,6.35,86.00,mango,0.76,3000
28.00,190.00,231,21.20,92.16,5.68,87.00,apple,0.68,7300
67.00,75.00,41.00,25.41,82.36,6.04,87.00,banana,1.25,14000
45.00,74.00,20.00,26.24,67.89,9.13,87.00,blackgram,0.59,800
65.00,65.00,73.00,19.13,14.92,4.98,87.00,chickpea,0.78,1000
21.00,21.00,29.00,28.27,96.94,4.55,87.00,coconut,0.32,5000
115.00,50.00,24.00,22.45,76.26,6.04,87.00,cotton,0.55,365
125.00,40.00,16.00,25.79,75.01,6.91,87.00,cotton,0.55,365
142.00,43.00,26.00,22.95,78.72,7.91,87.00,cotton,0.55,365
159.00,41.00,26.00,22.76,76.76,8.08,87.00,cotton,0.55,365
21.00,199.00,214.00,41.66,82.22,4.58,87.00,grapes,1.2,5000
29.00,192.00,227.00,30.51,82.72,4.92,87.00,grapes,1.2,5000
30.00,138.00,182.00,24.97,82.73,7.98,87.00,grapes,1.2,5000
17.00,58.00,8.00,19.63,18.91,4.63,87.00,kidneybeans,1.21,2000
20.00,50.00,22.00,23.90,22.74,7.36,87.00,kidneybeans,1.21,2000
64.00,43.00,10.00,18.83,58.75,6.02,87.00,maize,0.32,2600
54.00,63.00,17.00,26.10,71.57,6.57,87.00,maize,0.32,2600
22.00,23.00,24.00,27.33,49.30,5.36,87.00,mango,0.76,3000
19.00,28.00,46.00,30.41,52.48,6.28,87.00,mango,0.76,3000
27.00,21.00,7.00,13.21,94.03,6.72,87.00,orange,0.46,4800
60.00,58.00,59.00,39.02,91.49,6.55,87.00,papaya,1.45,3000
26.00,14.00,34.00,22.92,85.41,6.44,87.00,pomegranate,0.74,1700
14.00,19.00,55.00,24.38,85.40,6.82,87.00,pomegranate,0.74,1700
18.00,69.00,259,23.13,94.71,6.05,88.00,apple,0.68,7300
16.00,116.00,131,22.81,92.13,6.22,88.00,apple,0.68,7300
22.00,91.00,41.00,28.08,75.26,4.92,88.00,banana,1.25,14000
120.00,103.00,34.00,28.56,84.52,6.59,88.00,banana,1.25,14000
39.00,72.00,101.00,18.37,19.56,5.37,88.00,chickpea,0.78,1000
30.00,61.00,67.00,17.89,15.41,6.82,88.00,chickpea,0.78,1000
47.00,93.00,54.00,18.73,19.18,7.23,88.00,chickpea,0.78,1000
52.00,49.00,102.00,19.41,18.98,9.35,88.00,chickpea,0.78,1000
98.00,65.00,18.00,22.00,79.47,6.28,88.00,cotton,0.55,365
108.00,57.00,20.00,24.15,75.88,7.63,88.00,cotton,0.55,365
24.00,149.00,215.00,25.96,82.58,4.41,88.00,grapes,1.2,5000
24.00,85.00,20.00,24.51,20.82,6.17,88.00,kidneybeans,1.21,2000
20.00,67.00,23.00,15.79,21.15,7.33,88.00,kidneybeans,1.21,2000
81.00,55.00,13.00,18.66,61.55,5.03,88.00,maize,0.32,2600
108.00,54.00,6.00,22.61,63.69,6.90,88.00,maize,0.32,2600
20.00,28.00,32.00,32.18,54.01,5.64,88.00,mango,0.76,3000
30.00,20.00,15.00,17.34,93.05,8.42,88.00,orange,0.46,4800
43.00,31.00,52.00,33.47,92.13,8.08,88.00,papaya,1.45,3000
130.00,28.00,185.00,25.43,87.00,5.21,88.00,pineapple,1.1,10000
15.00,20.00,35.00,23.20,91.19,6.16,88.00,pomegranate,0.74,1700
19.00,17.00,37.00,24.63,89.02,7.03,88.00,pomegranate,0.74,1700
109.00,89.00,32.00,27.36,84.55,5.17,89.00,banana,1.25,14000
59.00,57.00,33.00,25.20,83.56,6.55,89.00,banana,1.25,14000
34.00,66.00,13.00,33.67,66.60,7.20,89.00,blackgram,0.59,800
38.00,62.00,18.00,28.13,64.21,9.53,89.00,blackgram,0.59,800
23.00,7.00,29.00,26.00,94.80,6.13,89.00,coconut,0.32,5000
105.00,26.00,19.00,25.50,79.98,6.87,89.00,cotton,0.55,365
94.00,48.00,21.00,23.78,83.04,7.51,89.00,cotton,0.55,365
27.00,31.00,32.00,28.70,47.72,6.17,89.00,mango,0.76,3000
16.00,30.00,40.00,31.87,52.19,8.77,89.00,mango,0.76,3000
13.00,9.00,9.00,29.07,93.27,6.01,89.00,orange,0.46,4800
31.00,9.00,11.00,30.26,92.03,6.82,89.00,orange,0.46,4800
153.00,56.00,232.00,25.38,90.00,5.47,89.00,pineapple,1.1,10000
15.00,21.00,30.00,21.66,94.79,6.02,89.00,pomegranate,0.74,1700
17.00,153.00,172,22.92,94.90,7.02,90.00,apple,0.68,7300
19.00,51.00,18.00,30.95,64.23,5.52,90.00,blackgram,0.59,800
21.00,74.00,95.00,20.71,19.84,9.78,90.00,chickpea,0.78,1000
51.00,46.00,14.00,25.36,83.63,7.98,90.00,cotton,0.55,365
144.00,43.00,21.00,25.03,79.04,10.83,90.00,cotton,0.55,365
21.00,103.00,217.00,27.24,82.95,3.93,90.00,grapes,1.2,5000
18.00,118.00,199.00,34.39,83.18,7.16,90.00,grapes,1.2,5000
26.00,55.00,28.00,19.56,24.67,3.50,90.00,kidneybeans,1.21,2000
17.00,80.00,20.00,18.31,24.33,4.67,90.00,kidneybeans,1.21,2000
63.00,36.00,23.00,22.28,58.84,4.45,90.00,maize,0.32,2600
25.00,29.00,26.00,35.39,51.43,6.51,90.00,mango,0.76,3000
12.00,23.00,36.00,19.87,86.36,7.45,90.00,pomegranate,0.74,1700
18.00,13.00,58.00,21.58,94.88,7.57,90.00,pomegranate,0.74,1700
23.00,119.00,210,21.98,91.13,5.31,91.00,apple,0.68,7300
113.00,100.00,31.00,27.51,80.80,5.64,91.00,banana,1.25,14000
158.00,52.00,23.00,24.96,81.32,7.83,91.00,cotton,0.55,365
142.00,61.00,18.00,23.87,75.68,7.85,91.00,cotton,0.55,365
26.00,77.00,19.00,23.01,18.87,3.60,91.00,kidneybeans,1.21,2000
72.00,61.00,23.00,20.04,56.36,5.28,91.00,maize,0.32,2600
72.00,62.00,13.00,22.03,65.36,6.29,91.00,maize,0.32,2600
104.00,53.00,14.00,18.53,69.03,7.76,91.00,maize,0.32,2600
46.00,67.00,45.00,43.68,93.11,6.83,91.00,papaya,1.45,3000
114.00,42.00,194.00,19.80,90.00,5.29,91.00,pineapple,1.1,10000
149.00,37.00,138.00,24.54,88.00,5.89,91.00,pineapple,1.1,10000
18.00,14.00,39.00,20.94,85.43,6.32,91.00,pomegranate,0.74,1700
8.00,21.00,40.00,23.63,89.73,7.29,91.00,pomegranate,0.74,1700
18.00,128.00,247,22.62,93.52,4.84,92.00,apple,0.68,7300
24.00,74.00,205,23.34,90.38,6.65,92.00,apple,0.68,7300
30.00,89.00,14.00,30.28,61.69,2.18,92.00,blackgram,0.59,800
114.00,43.00,17.00,24.69,84.84,6.40,92.00,cotton,0.55,365
145.00,38.00,20.00,24.44,81.70,7.54,92.00,cotton,0.55,365
90.00,56.00,15.00,19.08,69.02,6.09,92.00,maize,0.32,2600
101.00,44.00,32.00,25.62,66.50,6.09,92.00,maize,0.32,2600
47.00,38.00,15.00,26.14,66.21,7.78,92.00,maize,0.32,2600
22.00,17.00,9.00,17.68,94.36,6.41,92.00,orange,0.46,4800
16.00,14.00,5.00,23.13,91.95,8.22,92.00,orange,0.46,4800
164.00,44.00,105.00,29.11,87.00,4.72,92.00,pineapple,1.1,10000
11.00,11.00,35.00,19.66,87.95,2.67,92.00,pomegranate,0.74,1700
16.00,18.00,35.00,24.94,94.26,3.65,92.00,pomegranate,0.74,1700
46.00,99.00,26.00,32.84,68.00,7.05,93.00,blackgram,0.59,800
36.00,99.00,57.00,19.49,16.06,5.88,93.00,chickpea,0.78,1000
49.00,63.00,63.00,19.42,16.80,8.25,93.00,chickpea,0.78,1000
101.00,42.00,20.00,22.05,84.63,7.11,93.00,cotton,0.55,365
97.00,41.00,15.00,25.54,81.14,7.20,93.00,cotton,0.55,365
150.00,42.00,19.00,23.37,77.43,7.50,93.00,cotton,0.55,365
21.00,122.00,162.00,19.36,83.36,7.63,93.00,grapes,1.2,5000
12.00,188.00,218.00,39.37,81.25,9.24,93.00,grapes,1.2,5000
23.00,83.00,23.00,16.07,18.72,6.57,93.00,kidneybeans,1.21,2000
14.00,43.00,27.00,21.75,63.40,5.23,93.00,lentil,1.12,800
100.00,40.00,19.00,19.20,68.31,4.10,93.00,maize,0.32,2600
68.00,55.00,18.00,23.80,74.83,5.09,93.00,maize,0.32,2600
13.00,21.00,39.00,33.33,45.61,3.39,93.00,mango,0.76,3000
14.00,18.00,10.00,31.85,90.12,7.58,93.00,orange,0.46,4800
16.00,174.00,226,21.17,90.24,5.34,94.00,apple,0.68,7300
14.00,138.00,264,22.64,90.18,7.74,94.00,apple,0.68,7300
70.00,77.00,49.00,25.43,81.54,5.06,94.00,banana,1.25,14000
31.00,85.00,20.00,27.10,63.36,8.45,94.00,blackgram,0.59,800
28.00,55.00,87.00,19.46,18.02,5.85,94.00,chickpea,0.78,1000
38.00,73.00,78.00,20.02,16.63,7.82,94.00,chickpea,0.78,1000
27.00,102.00,204.00,17.99,81.18,6.00,94.00,grapes,1.2,5000
26.00,84.00,15.00,15.77,19.23,3.67,94.00,kidneybeans,1.21,2000
91.00,52.00,17.00,25.08,65.92,7.04,94.00,maize,0.32,2600
21.00,18.00,12.00,27.26,91.71,7.89,94.00,orange,0.46,4800
17.00,59.00,20.00,19.54,66.35,6.65,94.00,pigeonpeas,0.76,800
30.00,70.00,21.00,34.13,65.15,4.45,95.00,blackgram,0.59,800
20.00,67.00,16.00,33.86,68.59,6.74,95.00,blackgram,0.59,800
40.00,77.00,85.00,18.84,14.74,5.46,95.00,chickpea,0.78,1000
149.00,42.00,19.00,25.29,75.67,5.75,95.00,cotton,0.55,365
33.00,67.00,19.00,22.96,82.34,6.04,95.00,cotton,0.55,365
29.00,110.00,144.00,9.54,80.73,7.92,95.00,grapes,1.2,5000
66.00,55.00,39.00,23.79,74.37,7.17,95.00,jute,0.86,10000
21.00,77.00,20.00,20.57,19.75,5.69,95.00,kidneybeans,1.21,2000
96.00,43.00,19.00,18.98,74.53,8.08,95.00,maize,0.32,2600
81.00,56.00,27.00,22.63,65.77,9.20,95.00,maize,0.32,2600
29.00,35.00,37.00,32.89,52.61,4.76,95.00,mango,0.76,3000
25.00,11.00,10.00,31.75,94.60,6.26,95.00,orange,0.46,4800
16.00,21.00,42.00,24.72,85.56,6.29,95.00,pomegranate,0.74,1700
26.00,16.00,46.00,24.25,85.56,6.42,95.00,pomegranate,0.74,1700
19.00,21.00,32.00,18.90,95.00,6.64,95.00,pomegranate,0.74,1700
48.00,83.00,57.00,18.20,14.71,8.21,96.00,chickpea,0.78,1000
48.00,51.00,131.00,18.97,19.52,8.60,96.00,chickpea,0.78,1000
20.00,20.00,31.00,29.70,95.21,4.95,96.00,coconut,0.32,5000
14.00,18.00,26.00,27.56,99.98,6.81,96.00,coconut,0.32,5000
105.00,27.00,25.00,22.11,78.58,5.96,96.00,cotton,0.55,365
140.00,39.00,21.00,23.41,76.44,8.49,96.00,cotton,0.55,365
22.00,134.00,291.00,14.98,80.50,6.66,96.00,grapes,1.2,5000
17.00,68.00,18.00,23.33,64.51,10.66,96.00,lentil,1.12,800
